question_id,text,intent,business_value,brand_mentioned,mention_type,recommendation_rank
q-001,适合五十人研发团队的项目管理软件有哪些？,recommendation,90,True,recommended,3
q-002,中小企业项目管理工具怎么选？,recommendation,85,False,,
q-003,研发团队协作平台推荐,recommendation,88,True,weakly_recommended,
q-004,项目管理软件和问题跟踪工具有什么区别？,category_awareness,60,False,,
q-005,支持私有化部署的项目管理系统有哪些？,purchase,92,True,recommended,1
q-006,竞争品牌A和竞争品牌B哪个更适合研发团队？,comparison,80,False,,
q-007,敏捷研发场景下如何选择协作工具？,use_case,75,False,,
q-008,项目管理软件的数据安全要注意什么？,trust_risk,70,False,,
q-009,示例科技支持私有化部署吗？,brand_fact,65,True,neutral_mention,
q-010,项目管理工具售后和服务响应一般如何评估？,support,55,False,,
